Index,Chunk
0,"穷通宝鉴
目录
序言
五行总论
十干分论
论木
论甲木
三春甲木
三夏甲木
三秋甲木
三冬甲木
论乙木
三春乙木
三夏乙木
三秋乙木
三冬乙木
论火
论丙火
三春丙火
三夏丙火
三秋丙火
三冬丙火
论丁火
三春丁火
三夏丁火
三秋丁火
三冬丁火
论土
论戊土
三春戊土
三夏戊土
三秋戊土
三冬戊土
论己土
三春己土
三夏己土
三秋己土
三冬己土
论庚金
三春庚金
三夏庚金
三秋庚金
三冬庚金
论辛金
三春辛金
三夏辛金
三秋辛金
三冬辛金
论水
论壬水
三春壬水
三夏壬水
三秋壬水
三冬壬水
论癸水
三春癸水
三夏癸水
三秋癸水
三冬癸水
五行总论
五行者，本乎天地之间而不穷者也，故谓之行。"
1,北方阴极而生寒，寒生水。南方阳极而生热，热生火。东方阳散以泄而生风，风生木。西方阴止以收而生燥，燥生金。中央阴阳交而生温，温生土。其相生也所以相维，其相克也所以相制，此之谓有伦。火为太阳，性炎上。水为太阴，性润下。木为少阳，性腾上而无所止。金为少阴，性沉下而有所止。土无常性，视四时所乘，欲使相济得所，勿令太过弗及。夫五行之性，各致其用。水者其性智，火者其性礼，木其性仁，金其性义，惟土主信，重宽厚博，无所不容：以之水，即水附之而行；以之木，则木托之而生；金不得土，则无自出；火不得土，则无自归。必损实以为通，致虚以为明，故五行皆赖土也。推其形色，则水黑、火赤、木青、土黄，此正色也。
2,"必损实以为通，致虚以为明，故五行皆赖土也。推其形色，则水黑、火赤、木青、土黄，此正色也。及其变易，则不然。常以生旺从正色，死绝从母色，成形冠带从妻色，病败从鬼色，旺墓从子色。其数则水一、火二、木三、金四、土五。生旺加倍，死绝减半。以义推之，夫万物负阴而抱阳，冲气以和。过与不及，皆为乖道。故高者抑之使平，下者举之使崇，或益其不及，或损其太过。所以贵在折衷，归於中道，使无有余不足之累，即才官印食贵人驿马之微意也。行运亦如之，识其微意，则於命理之说，思过半矣。十干分论
论木论火论土论金论水，甲木丙火戊土庚金壬水。论木
木性腾上而无所止，气重则欲金任使，有金则有惟高惟敛之德。"
3,"十干分论
论木论火论土论金论水，甲木丙火戊土庚金壬水。论木
木性腾上而无所止，气重则欲金任使，有金则有惟高惟敛之德。仍爱土重，则根蟠深固，土少则有枝茂根危之患。木赖水生，少则滋润，多则漂流。甲戌、乙亥、木之源。甲寅、乙卯、木之乡。甲辰、乙巳、木之生。皆活木也。甲申﹑乙酉、木受剋。甲午、乙未、木自死。甲子、乙丑、金剋木。皆死木也。生木得火而秀，丙丁相同。死木得金而造，庚辛必利。生木见金自伤，死木得火自焚，无风自止，其势乱也。遇水返化其源，其势尽也。金木相等，格谓斲轮。若向秋生，反为伤斧，是秋生忌金重也。木生于春，余寒犹存。喜火温暖，则无盘屈之患。藉水资扶，而有舒畅之美。"
4,喜火温暖，则无盘屈之患。藉水资扶，而有舒畅之美。春初不宜水盛，阴浓则根损枝枯。春木阳气烦燥，无水则叶藁根枯。是以水火二物，既济方佳。土多而损力，土薄则财丰。忌逢金重伤残剋伐，一生不闲。设使木旺，得金则良，终生获福。夏月之木，根干叶燥，盘而且直，屈而能伸。欲得水盛而成滋润之力，诚不可少。切忌火旺而招焚化之忧，故以为凶。土宜在薄，不可厚重，厚则反为灾咎。恶金在多，不可欠缺，缺则不能琢削。重重见木，徒以成林，叠叠逢华，终无结果。秋月之木，气渐凄凉，形渐凋败。初秋之时，火气未除，尤喜水土以相滋。中秋之令，果以成实，欲得刚金而修削。霜降后不宜水盛，水盛则木漂。寒露节又喜火炎，火炎则木实。
5,"霜降后不宜水盛，水盛则木漂。寒露节又喜火炎，火炎则木实。木多有多材之美，土厚无自任之能。冬月之木，盘屈在地，欲土多而培养。恶水盛而忘形。金总多不能剋伐。火重见温暖有功。归根复命之时。木病安能辅助，须忌死绝之地，只宜生旺之方。论甲木
（甲于各月）
三春甲木
春月之木，渐有生长之象。初春犹有余寒，当以火温暖，则有舒畅之美，水多变剋，有损精神。重见生旺，必用庚金斲凿，可成楝梁。春末阳壮水渴，藉水资扶，则花繁叶茂。初春无火，增之以水，则阴浓气弱，根损枝枯，不能华秀。春末失水，增之以火，则阳气太盛，燥渴相加，枝枯叶干，亦不华秀。是以水火二物，要得时相济为美。正月甲木，初春尚有余寒，得丙癸逢，富贵双全。"
6,是以水火二物，要得时相济为美。正月甲木，初春尚有余寒，得丙癸逢，富贵双全。癸藏丙透，名寒木向阳，主大富贵。倘风水不及，亦不失儒林俊秀。如无丙癸，平常人也。正二月甲木，素无取从才从杀从化之理。或一派庚辛，主一生劳苦，剋子刑妻，再支会金局，非贫即夭。如无丙丁，一派壬癸，又无戊己制之，名水泛木浮，死无棺椁。如一派戊己，支会金局，为财多身弱，富屋贫人，终生劳苦，妻晚子迟。或无庚金，有丁透，亦属文星，为木火通明之象，又名伤官生财格，主聪明雅秀。一见癸水伤丁，但作厚道迂儒。或柱中多癸，滋助木神，伤灭丁火，其人奸雄枭险，曹操之徒，言清行浊，笑里藏刀。若庚申、戊寅、甲寅、丙寅。一行金水运，发进士。
7,若庚申、戊寅、甲寅、丙寅。一行金水运，发进士。或甲午日庚午时，此人必贵。但要好运相催，不宜制了庚丁。或支成金局，多透庚辛，此又不吉，号曰木被金伤，若无丙丁破金，必主残疾。或支成火局，洩露太过，定主愚懦，常有啾唧灾病缠身，终有暗疾。支成木局，得庚为贵，无庚必凶，若非僧道，男主鳏孤，女主寡独。支成水局，戊透为贵，如无戊制，不但贫贱，且死无棺木。故书曰：甲木若无根，全赖申子辰，干得才杀透，平步上青云。凡三春甲木，用庚者，土为妻，金为子。用丁者，木为妻，火为子。总之正二月甲木，有庚戊者上命。如有丁透，大富大贵之命也。二月甲木，庚金得所，名阳刃驾杀，可云小贵，异途显达，或主武职，但要财资之。
8,如有丁透，大富大贵之命也。二月甲木，庚金得所，名阳刃驾杀，可云小贵，异途显达，或主武职，但要财资之。柱中逢才，英雄独压万人。若见癸水，困了才杀，主为光棍，重刃必定遭凶。性情凶暴。书曰：木旺宜火之光辉，秋闱可试。木向春生，处世安然有寿。日主无依，却喜运行才地。三月甲木，木气相竭。先取庚金，次用壬水。庚壬两透，一榜堪图。但要运用相生，风水阴德，方许富贵。或见一二庚金，独取壬水。壬透清秀之人，才学必富。或天干透出二丙，庚藏支下，此钝斧无钢，富贵难求。若有壬癸破火，堪作秀才。或柱中全无一水，戊己透干，支成土局，又作弃命从才，因人而致富贵，妻子有能。
9,"若有壬癸破火，堪作秀才。或柱中全无一水，戊己透干，支成土局，又作弃命从才，因人而致富贵，妻子有能。或见戊己，及比劫多者，名为杂气夺才，此人劳碌到老，无驭内之权。女命合此，女掌男权，贤能内助，若比劫重见，淫恶不堪。或支成金局，方可用丁，不然，三月无用丁之法。惟有先庚后壬取用。书曰：甲乙生寅卯，庚辛干上逢，离南推富贵，坎地却为凶。三夏甲木
四月甲木退气，丙火司权，先癸后丁。庚金太多，甲反受病。若得壬水，方配得中和，此人性好清高，假装富贵。即荫袭显达，终日好作祸乱，善辨巧谈，喜作诗文。此理最验。如一庚二丙，稍有富贵。金多火多，又为下格。或癸丁与庚齐透天干，此命可言科甲，即风水浅薄，亦有选拔之才。"
